set type n m type run opt optTime random randomTime ratio ratioTime
spi 2 20 40 2 3 72 1653 166 0 123 0
spi 2 20 40 2 4 150 1706 192 0 207 0
spi 2 20 40 2 5 83 1764 144 0 105 0
spi 2 20 40 2 6 103 1713 134 0 147 0
spi 2 20 40 2 7 72 1410 122 0 105 0
spi 2 20 40 2 8 81 1663 127 0 92 0
spi 2 20 40 2 9 80 1673 149 0 115 0
spi 2 20 60 2 1 218 2991 352 0 255 0
spi 2 20 60 2 10 213 2846 300 0 294 0
spi 2 20 60 2 2 295 2863 391 0 384 0
spi 2 20 60 2 3 291 2715 396 0 382 0
spi 2 20 60 2 4 289 2865 452 0 346 0
spi 2 20 60 2 5 264 2806 367 0 349 0
spi 2 20 60 2 6 204 2731 268 0 279 0
spi 2 20 60 2 7 292 2849 432 0 416 0
spi 2 20 60 2 8 248 2795 337 0 312 0
spi 2 20 60 2 9 271 2767 381 0 283 0
spi 2 20 80 2 1 519 3846 783 0 683 0
spi 2 20 80 2 10 598 4089 756 0 734 0
spi 2 20 80 2 2 500 3726 678 0 652 0
spi 2 20 80 2 3 524 3927 640 0 651 0
spi 2 20 80 2 4 508 3887 699 0 557 0
spi 2 20 80 2 5 440 4201 595 0 540 0
spi 2 20 80 2 6 552 3932 756 0 663 0
spi 2 20 80 2 7 482 3868 655 0 615 0
spi 2 20 80 2 8 403 3845 630 0 563 0
spi 2 20 80 2 9 700 3725 958 0 810 0
spi 2 25 100 2 1 566 266478 814 0 801 0
spi 2 25 100 2 10 685 282890 894 0 843 0
spi 2 25 100 2 2 642 277124 913 0 794 0
spi 2 25 100 2 3 664 276001 923 0 869 0
spi 2 25 100 2 4 410 267276 696 0 528 0
spi 2 25 100 2 5 656 265312 924 0 879 0
spi 2 25 100 2 6 493 274013 853 0 617 0
spi 2 25 100 2 7 522 263832 699 0 660 0
spi 2 25 100 2 8 579 262926 797 0 675 0
spi 2 25 100 2 9 530 276991 754 0 675 0
spi 2 25 150 2 1 1329 388036 1644 0 1408 0
spi 2 25 150 2 10 1352 379033 1912 0 1451 0
spi 2 25 150 2 2 1252 377186 1516 0 1532 0
spi 2 25 150 2 3 1565 373527 1917 0 1835 0
spi 2 25 150 2 4 1531 374104 1965 0 1842 0
spi 2 25 150 2 5 1276 368519 1738 0 1487 0
spi 2 25 150 2 6 1294 376720 1678 0 1310 0
spi 2 25 150 2 7 1156 381349 1568 0 1481 0
spi 2 25 150 2 8 1442 365767 1813 0 1776 0
spi 2 25 150 2 9 1176 362690 1639 0 1310 0
spi 2 25 200 2 1 1967 489716 2329 0 2213 0
spi 2 25 200 2 10 3084 498421 3497 0 3417 0
spi 2 25 200 2 2 2443 495261 3021 0 2764 0
spi 2 25 200 2 3 2560 496521 3351 0 3042 0
spi 2 25 200 2 4 2722 497518 3292 0 2941 0
spi 2 25 200 2 5 2355 499191 2706 0 2684 0
spi 2 25 200 2 6 2846 491724 3361 0 3321 0
spi 2 25 200 2 7 1980 496221 2518 0 2172 0
spi 2 25 200 2 8 2651 497481 3162 0 2961 0
spi 2 25 200 2 9 2497 498777 2775 0 2744 0
spi 2 25 40 2 1 83 56329 145 0 129 0
spi 2 25 40 2 10 59 76450 105 0 96 0
spi 2 25 40 2 2 77 56460 161 0 108 0
spi 2 25 40 2 3 60 76017 114 0 80 0
spi 2 25 40 2 4 84 79454 141 0 121 0
spi 2 25 40 2 5 85 80021 170 0 153 0
spi 2 25 40 2 6 119 78803 205 0 158 0
spi 2 25 40 2 7 104 74452 183 0 170 0
spi 2 25 40 2 8 64 74219 113 0 108 0
spi 2 25 40 2 9 67 75736 141 0 99 0
spi 2 25 80 2 1 397 199288 670 0 581 0
spi 2 25 80 2 10 421 195879 602 0 496 0
spi 2 25 80 2 2 347 197817 460 0 466 0
spi 2 25 80 2 3 339 187838 527 0 398 0
spi 2 25 80 2 4 319 190574 564 0 483 0
spi 2 25 80 2 5 383 187628 560 0 485 0
spi 2 25 80 2 6 411 196075 533 0 529 0
spi 2 25 80 2 7 202 191327 431 0 255 0
spi 2 25 80 2 8 365 192639 534 0 506 0
spi 2 25 80 2 9 421 191701 561 0 536 0
