set type n m type run random randomTime ratio ratioTime
mpi 2 200 50 2 8 93 0 92 0
mpi 2 200 50 2 9 92 0 101 0
mpi 2 200 750 2 1 6045 0 5991 0
mpi 2 200 750 2 10 6195 0 5929 0
mpi 2 200 750 2 2 5442 0 5626 0
mpi 2 200 750 2 3 5712 0 5495 0
mpi 2 200 750 2 4 6538 0 6358 0
mpi 2 200 750 2 5 5710 0 5481 0
mpi 2 200 750 2 6 5113 0 5207 0
mpi 2 200 750 2 7 6174 0 6541 0
mpi 2 200 750 2 8 6205 0 5577 0
mpi 2 200 750 2 9 5855 0 6029 0
mpi 2 250 1000 2 1 8066 0 8018 0
mpi 2 250 1000 2 10 8948 0 9172 0
mpi 2 250 1000 2 2 8398 0 8682 0
mpi 2 250 1000 2 3 8941 0 8502 0
mpi 2 250 1000 2 4 8058 0 8321 0
mpi 2 250 1000 2 5 9011 0 9293 0
mpi 2 250 1000 2 6 8074 0 7780 0
mpi 2 250 1000 2 7 8653 0 7824 0
mpi 2 250 1000 2 8 8568 0 8516 0
mpi 2 250 1000 2 9 9307 0 9204 0
mpi 2 250 2000 2 1 31607 0 31538 0
mpi 2 250 2000 2 10 34067 0 34253 0
mpi 2 250 2000 2 2 33954 0 34518 0
mpi 2 250 2000 2 3 33581 0 32447 0
mpi 2 250 2000 2 4 32907 0 31781 0
mpi 2 250 2000 2 5 35478 0 34531 0
mpi 2 250 2000 2 6 33436 0 33554 0
mpi 2 250 2000 2 7 32648 0 32911 0
mpi 2 250 2000 2 8 33738 0 32446 0
mpi 2 250 2000 2 9 33293 0 32330 0
mpi 2 250 250 2 1 702 0 708 0
mpi 2 250 250 2 10 745 0 730 0
mpi 2 250 250 2 2 778 0 731 0
mpi 2 250 250 2 3 821 0 816 0
mpi 2 250 250 2 4 698 0 731 0
mpi 2 250 250 2 5 876 0 820 0
mpi 2 250 250 2 6 813 0 794 0
mpi 2 250 250 2 7 746 0 773 0
mpi 2 250 250 2 8 752 0 719 0
mpi 2 250 250 2 9 769 0 761 0
mpi 2 250 5000 2 1 188959 0 185687 0
mpi 2 250 5000 2 10 205749 0 200620 0
mpi 2 250 5000 2 2 211390 0 208653 0
mpi 2 250 5000 2 3 188645 0 184702 0
mpi 2 250 5000 2 4 201878 0 199915 0
mpi 2 250 5000 2 5 193388 0 186493 0
mpi 2 250 5000 2 6 201823 0 202601 0
mpi 2 250 5000 2 7 200485 0 197372 0
mpi 2 250 5000 2 8 191249 0 193052 0
mpi 2 250 5000 2 9 202135 0 194442 0
mpi 2 250 500 2 1 2299 0 2158 0
mpi 2 250 500 2 10 2311 0 2358 0
mpi 2 250 500 2 2 2352 0 2471 0
mpi 2 250 500 2 3 2324 0 2256 0
mpi 2 250 500 2 4 2425 0 2439 0
mpi 2 250 500 2 5 2373 0 2405 0
mpi 2 250 500 2 6 2618 0 2728 0
mpi 2 250 500 2 7 2459 0 2277 0
mpi 2 250 500 2 8 2357 0 2344 0
mpi 2 250 500 2 9 2588 0 2309 0
mpi 2 250 750 2 1 5097 0 4954 0
mpi 2 250 750 2 10 5102 0 5190 0
mpi 2 250 750 2 2 5021 0 5149 0
mpi 2 250 750 2 3 4674 0 4657 0
mpi 2 250 750 2 4 4995 0 5090 0
mpi 2 250 750 2 5 4911 0 4935 0
mpi 2 250 750 2 6 5392 0 5007 0
mpi 2 250 750 2 7 5161 0 5210 0
mpi 2 250 750 2 8 5868 0 5884 0
mpi 2 250 750 2 9 4760 0 4375 0
mpi 2 300 1000 2 1 7852 0 7903 0
mpi 2 300 1000 2 10 6876 0 6959 0
mpi 2 300 1000 2 2 7352 0 6800 0
mpi 2 300 1000 2 3 7279 0 7144 0
mpi 2 300 1000 2 4 7143 0 7002 0
mpi 2 300 1000 2 5 6903 0 7099 0
mpi 2 300 1000 2 6 7421 0 7659 0
mpi 2 300 1000 2 7 7418 0 7470 0
mpi 2 300 1000 2 8 7262 0 7274 0
mpi 2 300 1000 2 9 7668 0 7976 0
mpi 2 300 2000 2 1 27970 0 27420 0
mpi 2 300 2000 2 10 27482 0 27326 0
mpi 2 300 2000 2 2 27169 0 27522 0
mpi 2 300 2000 2 3 28688 0 27062 0
mpi 2 300 2000 2 4 27575 0 26607 0
mpi 2 300 2000 2 5 27525 0 27780 0
mpi 2 300 2000 2 6 28378 0 29239 0
mpi 2 300 2000 2 7 25098 0 24001 0
mpi 2 300 2000 2 8 27481 0 27646 0
mpi 2 300 2000 2 9 28639 0 27474 0
mpi 2 300 250 2 1 601 0 594 0
mpi 2 300 250 2 10 702 0 650 0
mpi 2 300 250 2 2 672 0 715 0
mpi 2 300 250 2 3 702 0 697 0
mpi 2 300 250 2 4 695 0 737 0
mpi 2 300 250 2 5 703 0 750 0
mpi 2 300 250 2 6 668 0 681 0
mpi 2 300 250 2 7 665 0 684 0
mpi 2 300 250 2 8 728 0 697 0
mpi 2 300 250 2 9 656 0 711 0
mpi 2 300 5000 2 1 164534 0 164950 0
mpi 2 300 5000 2 10 160867 0 158076 0
mpi 2 300 5000 2 2 179322 0 174473 0
mpi 2 300 5000 2 3 172493 0 166430 0
mpi 2 300 5000 2 4 163342 0 160650 0
mpi 2 300 5000 2 5 159462 0 155269 0
mpi 2 300 5000 2 6 161241 0 159497 0
mpi 2 300 5000 2 7 172048 0 168265 0
mpi 2 300 5000 2 8 156962 0 156906 0
mpi 2 300 5000 2 9 173793 0 172128 0
mpi 2 300 500 2 1 2048 0 1892 0
mpi 2 300 500 2 10 2342 0 2492 0
mpi 2 300 500 2 2 1976 0 2108 0
mpi 2 300 500 2 3 2176 0 1910 0
mpi 2 300 500 2 4 2073 0 2024 0
mpi 2 300 500 2 5 2093 0 2111 0
mpi 2 300 500 2 6 2068 0 2243 0
mpi 2 300 500 2 7 2096 0 2269 0
mpi 2 300 500 2 8 2058 0 2045 0
mpi 2 300 500 2 9 2170 0 2224 0
mpi 2 300 750 2 1 4357 0 4346 0
mpi 2 300 750 2 10 4348 0 4376 0
mpi 2 300 750 2 2 4916 0 5093 0
mpi 2 300 750 2 3 4582 0 4683 0
mpi 2 300 750 2 4 4560 0 4705 0
mpi 2 300 750 2 5 4160 0 4223 0
mpi 2 300 750 2 6 4049 0 3992 0
mpi 2 300 750 2 7 4349 0 4468 0
mpi 2 300 750 2 8 4101 0 4288 0
mpi 2 300 750 2 9 4469 0 4476 0
mpi 2 50 100 2 1 450 0 469 0
mpi 2 50 100 2 10 434 0 388 0
mpi 2 50 100 2 2 388 0 294 0
mpi 2 50 100 2 3 372 0 366 0
mpi 2 50 100 2 4 461 0 501 0
mpi 2 50 100 2 5 384 0 414 0
mpi 2 50 100 2 6 493 0 426 0
mpi 2 50 100 2 7 392 0 326 0
mpi 2 50 100 2 8 538 0 423 0
mpi 2 50 100 2 9 477 0 440 0
mpi 2 50 250 2 1 2679 0 2403 0
mpi 2 50 250 2 10 2242 0 2113 0
mpi 2 50 250 2 2 2927 0 2239 0
mpi 2 50 250 2 3 2494 0 2362 0
mpi 2 50 250 2 4 2307 0 2146 0
mpi 2 50 250 2 5 2318 0 2425 0
mpi 2 50 250 2 6 2722 0 2612 0
mpi 2 50 250 2 7 2436 0 2185 0
mpi 2 50 250 2 8 2802 0 2462 0
mpi 2 50 250 2 9 2626 0 2621 0
mpi 2 50 500 2 1 9318 0 8646 0
mpi 2 50 500 2 10 10075 0 9186 0
mpi 2 50 500 2 2 8894 0 8658 0
mpi 2 50 500 2 3 12061 0 11244 0
mpi 2 50 500 2 4 12173 0 11369 0
mpi 2 50 500 2 5 9673 0 8669 0
mpi 2 50 500 2 6 9121 0 8810 0
mpi 2 50 500 2 7 9377 0 9188 0
mpi 2 50 500 2 8 8986 0 8738 0
mpi 2 50 500 2 9 10073 0 9026 0
mpi 2 50 50 2 1 125 0 133 0
mpi 2 50 50 2 10 157 0 160 0
mpi 2 50 50 2 2 129 0 117 0
mpi 2 50 50 2 3 127 0 121 0
mpi 2 50 50 2 4 137 0 138 0
mpi 2 50 50 2 5 136 0 130 0
mpi 2 50 50 2 6 160 0 140 0
mpi 2 50 50 2 7 139 0 109 0
mpi 2 50 50 2 8 130 0 121 0
mpi 2 50 50 2 9 176 0 153 0
mpi 2 50 750 2 1 18890 0 16388 0
mpi 2 50 750 2 10 22507 0 21780 0
mpi 2 50 750 2 2 23206 0 23512 0
mpi 2 50 750 2 3 19683 0 18963 0
mpi 2 50 750 2 4 23582 0 23582 0
mpi 2 50 750 2 5 19087 0 18257 0
mpi 2 50 750 2 6 21100 0 20577 0
mpi 2 50 750 2 7 22846 0 20998 0
mpi 2 50 750 2 8 26119 0 24489 0
mpi 2 50 750 2 9 23203 0 22765 0
