set type n m type run opt optTime random randomTime ratio ratioTime
spi 1 25 200 1 10 1343 747326 1653 0 1545 0
spi 1 25 200 1 2 1367 635663 1650 0 1471 0
spi 1 25 200 1 3 1575 597374 1847 0 1820 0
spi 1 25 200 1 4 1411 589686 1657 0 1561 0
spi 1 25 200 1 5 1376 604270 1677 0 1504 0
spi 1 25 200 1 6 1467 615911 1649 0 1676 0
spi 1 25 200 1 7 1514 605244 1898 0 1609 0
spi 1 25 200 1 8 1328 586784 1636 0 1575 0
spi 1 25 200 1 9 1335 590469 1618 0 1462 0
spi 1 25 40 1 1 819 68424 1404 0 1121 0
spi 1 25 40 1 10 727 22024 1387 0 1219 0
spi 1 25 40 1 2 675 38772 1116 0 1301 0
spi 1 25 40 1 3 778 69657 1305 0 1180 0
spi 1 25 40 1 4 783 63710 1453 0 1031 0
spi 1 25 40 1 5 896 69429 1190 0 1485 0
spi 1 25 40 1 6 857 56583 1458 0 979 0
spi 1 25 40 1 7 791 42507 1415 0 1380 0
spi 1 25 40 1 8 802 62639 1226 0 983 0
spi 1 25 40 1 9 949 69561 1697 0 1101 0
spi 1 25 80 1 1 1160 207928 1616 0 1445 0
spi 1 25 80 1 10 919 202749 1669 0 1419 0
spi 1 25 80 1 2 1133 199419 1514 0 1727 0
spi 1 25 80 1 3 1068 194940 1535 0 1600 0
spi 1 25 80 1 4 1150 210862 1696 0 1695 0
spi 1 25 80 1 5 1037 195055 1838 0 1351 0
spi 1 25 80 1 6 1043 213750 1484 0 1545 0
spi 1 25 80 1 7 1190 212687 1653 0 1658 0
spi 1 25 80 1 8 868 198165 1340 0 1102 0
spi 1 25 80 1 9 949 215599 1607 0 1207 0
