set type n m type run opt optTime random randomTime ratio ratioTime
spi 1 10 10 1 1 329 0 502 0 521 0
spi 1 10 10 1 10 172 0 386 0 208 0
spi 1 10 10 1 2 171 0 406 0 242 0
spi 1 10 10 1 3 280 0 382 0 555 0
spi 1 10 10 1 4 169 0 390 0 194 0
spi 1 10 10 1 5 396 0 512 0 512 0
spi 1 10 10 1 6 275 0 482 0 317 0
spi 1 10 10 1 7 468 0 693 0 468 0
spi 1 10 10 1 8 185 0 408 0 208 0
spi 1 10 10 1 9 203 0 349 0 268 0
spi 1 10 20 1 1 308 0 407 0 374 0
spi 1 10 20 1 10 538 0 646 0 582 0
spi 1 10 20 1 2 410 1 605 0 588 0
spi 1 10 20 1 3 479 0 615 0 520 0
spi 1 10 20 1 4 394 1 618 0 492 0
spi 1 10 20 1 5 493 0 730 0 637 0
spi 1 10 20 1 6 341 0 443 0 419 0
spi 1 10 20 1 7 347 1 567 0 489 0
spi 1 10 20 1 8 438 1 680 0 540 0
spi 1 10 20 1 9 486 1 744 0 525 0
spi 1 10 30 1 1 319 1 509 0 389 0
spi 1 10 30 1 10 354 2 459 0 361 0
spi 1 10 30 1 2 509 1 665 0 665 0
spi 1 10 30 1 3 517 1 686 0 632 0
spi 1 10 30 1 4 544 1 660 0 701 0
spi 1 10 30 1 5 397 1 639 0 476 0
spi 1 10 30 1 6 413 1 554 0 589 0
spi 1 10 30 1 7 519 1 768 0 615 0
spi 1 10 30 1 8 458 2 627 0 596 0
spi 1 10 30 1 9 480 1 687 0 694 0
spi 1 10 40 1 1 564 1 648 0 648 0
spi 1 10 40 1 10 600 3 740 0 600 0
spi 1 10 40 1 2 433 1 505 0 504 0
spi 1 10 40 1 3 593 3 596 0 632 0
spi 1 10 40 1 4 350 2 367 0 367 0
spi 1 10 40 1 5 485 2 539 0 524 0
spi 1 10 40 1 6 384 1 461 0 458 0
spi 1 10 40 1 7 485 1 588 0 581 0
spi 1 10 40 1 8 561 1 700 0 561 0
spi 1 10 40 1 9 443 3 564 0 443 0
spi 1 15 100 1 1 821 153 895 0 895 0
spi 1 15 100 1 10 862 143 910 0 894 0
spi 1 15 100 1 2 858 145 937 0 888 0
spi 1 15 100 1 3 754 191 892 0 892 0
spi 1 15 100 1 4 1030 152 1211 0 1124 0
spi 1 15 100 1 5 1011 143 1122 0 1112 0
spi 1 15 100 1 6 850 156 954 0 898 0
spi 1 15 100 1 7 760 171 816 0 775 0
spi 1 15 100 1 8 957 150 1046 0 1006 0
spi 1 15 100 1 9 918 148 973 0 972 0
spi 1 15 20 1 1 460 17 936 0 555 0
spi 1 15 20 1 10 380 15 754 0 536 0
spi 1 15 20 1 2 546 27 754 0 842 0
spi 1 15 20 1 3 444 11 736 0 565 0
spi 1 15 20 1 4 462 12 752 0 553 0
spi 1 15 20 1 5 423 13 803 0 661 0
spi 1 15 20 1 6 473 15 829 0 674 0
spi 1 15 20 1 7 534 16 925 0 885 0
spi 1 15 20 1 8 435 15 770 0 488 0
spi 1 15 20 1 9 516 18 685 0 661 0
spi 1 15 40 1 1 466 45 620 0 466 0
spi 1 15 40 1 10 795 57 963 0 1013 0
spi 1 15 40 1 2 594 54 932 0 747 0
spi 1 15 40 1 3 497 75 717 0 632 0
spi 1 15 40 1 4 661 62 928 0 785 0
spi 1 15 40 1 5 566 52 844 0 794 0
spi 1 15 40 1 6 548 47 820 0 865 0
spi 1 15 40 1 7 596 47 792 0 613 0
spi 1 15 40 1 8 751 51 1022 0 1041 0
spi 1 15 40 1 9 586 55 891 0 753 0
spi 1 15 60 1 1 693 85 901 0 850 0
spi 1 15 60 1 10 649 89 879 0 868 0
spi 1 15 60 1 2 588 131 851 0 770 0
spi 1 15 60 1 3 778 102 1112 0 890 0
spi 1 15 60 1 4 599 96 841 0 732 0
spi 1 15 60 1 5 675 92 808 0 803 0
spi 1 15 60 1 6 698 120 989 0 749 0
spi 1 15 60 1 7 821 87 934 0 963 0
spi 1 15 60 1 8 580 86 837 0 713 0
spi 1 15 60 1 9 764 90 835 0 955 0
spi 1 15 80 1 1 784 132 1027 0 840 0
spi 1 15 80 1 10 841 127 1018 0 1022 0
spi 1 15 80 1 2 995 135 1280 0 1107 0
spi 1 15 80 1 3 720 126 920 0 895 0
spi 1 15 80 1 4 863 140 1055 0 1039 0
spi 1 15 80 1 5 687 120 830 0 691 0
spi 1 15 80 1 6 815 114 1027 0 952 0
spi 1 15 80 1 7 906 140 914 0 1000 0
spi 1 15 80 1 8 655 125 783 0 783 0
spi 1 15 80 1 9 843 119 940 0 940 0
spi 1 20 100 1 1 1117 5564 1340 0 1325 0
spi 1 20 100 1 10 862 5445 1199 0 1108 0
spi 1 20 100 1 2 1046 5772 1315 0 1046 0
spi 1 20 100 1 3 1035 4932 1338 0 1199 0
spi 1 20 100 1 4 1014 4785 1354 0 1193 0
spi 1 20 100 1 5 1022 4883 1388 0 1314 0
spi 1 20 100 1 6 999 4656 1294 0 1150 0
spi 1 20 100 1 7 920 5049 1164 0 1155 0
spi 1 20 100 1 8 1042 4677 1360 0 1141 0
spi 1 20 100 1 9 1197 4834 1515 0 1409 0
spi 1 20 120 1 1 1110 5556 1286 0 1217 0
spi 1 20 120 1 10 1047 5688 1256 0 1264 0
spi 1 20 120 1 2 1162 5669 1469 0 1375 0
spi 1 20 120 1 3 1016 5872 1272 0 1124 0
spi 1 20 120 1 4 988 5874 1175 0 1131 0
spi 1 20 120 1 5 908 5880 1176 0 1156 0
spi 1 20 120 1 6 991 5860 1275 0 1155 0
spi 1 20 120 1 7 942 5841 1132 0 1009 0
spi 1 20 120 1 8 875 5830 1179 0 1101 0
spi 1 20 120 1 9 1015 6396 1336 0 1279 0
spi 1 20 20 1 1 520 325 950 0 994 0
spi 1 20 20 1 10 397 334 859 0 408 0
spi 1 20 20 1 2 403 218 828 0 558 0
spi 1 20 20 1 3 494 209 690 0 690 0
spi 1 20 20 1 4 491 457 1083 0 744 0
spi 1 20 20 1 5 466 329 1094 0 574 0
spi 1 20 20 1 6 628 376 1141 0 1125 0
spi 1 20 20 1 7 560 498 882 0 872 0
spi 1 20 20 1 8 400 192 748 0 646 0
spi 1 20 20 1 9 544 435 893 0 833 0
spi 1 20 40 1 1 750 1596 1098 0 937 0
spi 1 20 40 1 10 630 1509 1070 0 873 0
spi 1 20 40 1 2 582 1058 864 0 883 0
spi 1 20 40 1 3 837 1482 1489 0 1280 0
spi 1 20 40 1 4 857 1384 1544 0 952 0
spi 1 20 40 1 5 844 1523 1284 0 1116 0
spi 1 20 40 1 6 610 1114 933 0 860 0
spi 1 20 40 1 7 766 1682 1340 0 1251 0
spi 1 20 40 1 8 785 1465 1168 0 1105 0
spi 1 20 40 1 9 797 1855 974 0 1156 0
spi 1 20 60 1 1 776 2390 1204 0 1131 0
spi 1 20 60 1 10 859 2706 1193 0 1130 0
spi 1 20 60 1 2 822 2251 1200 0 1201 0
spi 1 20 60 1 3 736 2709 1113 0 1061 0
spi 1 20 60 1 4 961 2731 1339 0 1372 0
spi 1 20 60 1 5 878 2567 1116 0 1093 0
spi 1 20 60 1 6 859 2842 1042 0 1191 0
spi 1 20 60 1 7 988 2566 1335 0 1210 0
spi 1 20 60 1 8 888 2432 1231 0 1131 0
spi 1 20 60 1 9 983 2987 1269 0 1350 0
spi 1 20 80 1 1 896 3728 1336 0 993 0
spi 1 20 80 1 10 879 3790 1245 0 1125 0
spi 1 20 80 1 2 920 4050 1351 0 1210 0
spi 1 20 80 1 3 747 3467 1215 0 1072 0
spi 1 20 80 1 4 943 3755 1396 0 1164 0
spi 1 20 80 1 5 1044 3763 1461 0 1425 0
spi 1 20 80 1 6 836 3760 1228 0 857 0
spi 1 20 80 1 7 882 3738 1263 0 1263 0
spi 1 20 80 1 8 822 3883 1217 0 1019 0
spi 1 20 80 1 9 843 3981 1302 0 1156 0
spi 1 25 100 1 1 1021 255353 1391 0 1298 0
spi 1 25 100 1 10 1231 260267 1811 0 1839 0
spi 1 25 100 1 2 1292 261955 1860 0 1733 0
spi 1 25 100 1 3 1086 275584 1477 0 1382 0
spi 1 25 100 1 4 1110 265356 1389 0 1301 0
spi 1 25 100 1 5 1030 252387 1649 0 1365 0
spi 1 25 100 1 6 1090 263664 1573 0 1325 0
spi 1 25 100 1 7 1007 275256 1440 0 1299 0
spi 1 25 100 1 8 1237 296812 1756 0 1590 0
spi 1 25 100 1 9 1491 276772 1799 0 1818 0
spi 1 25 150 1 1 1391 439738 1705 0 1599 0
spi 1 25 150 1 10 1136 441581 1367 0 1247 0
spi 1 25 150 1 2 1459 440678 1803 0 1828 0
spi 1 25 150 1 3 1248 431244 1685 0 1409 0
spi 1 25 150 1 4 1388 416505 1826 0 1757 0
spi 1 25 150 1 5 1516 411212 1926 0 1833 0
spi 1 25 150 1 6 1320 408782 1726 0 1530 0
spi 1 25 150 1 7 1436 402706 1658 0 1817 0
spi 1 25 150 1 8 1167 398203 1557 0 1318 0
spi 1 25 150 1 9 1292 416757 1765 0 1400 0
spi 1 25 200 1 1 1263 571688 1538 0 1484 0
