name n m type run obj time
mpi 100 100 2 1 181 0.000000
mpi 100 100 2 10 136 0.000000
mpi 100 100 2 2 156 0.003000
mpi 100 100 2 3 133 0.000000
mpi 100 100 2 4 115 0.000000
mpi 100 100 2 5 143 0.000000
mpi 100 100 2 6 119 0.000000
mpi 100 100 2 7 171 0.002000
mpi 100 100 2 8 149 0.000000
mpi 100 100 2 9 139 0.000000
mpi 100 250 2 1 877 0.003000
mpi 100 250 2 10 786 0.000000
mpi 100 250 2 2 977 0.001000
mpi 100 250 2 3 879 0.091000
mpi 100 250 2 4 906 0.000000
mpi 100 250 2 5 959 0.000000
mpi 100 250 2 6 677 0.000000
mpi 100 250 2 7 925 0.000000
mpi 100 250 2 8 813 0.001000
mpi 100 250 2 9 933 0.027000
mpi 100 500 2 1 3915 0.000000
mpi 100 500 2 10 3507 0.000000
mpi 100 500 2 2 3786 0.001000
mpi 100 500 2 3 3681 0.001000
mpi 100 500 2 4 4114 0.001000
mpi 100 500 2 5 3522 0.001000
mpi 100 500 2 6 3798 0.000000
mpi 100 500 2 7 3385 0.001000
mpi 100 500 2 8 3214 0.000000
mpi 100 500 2 9 3696 0.001000
mpi 100 50 2 1 54 0.000000
mpi 100 50 2 10 58 0.000000
mpi 100 50 2 2 50 0.000000
mpi 100 50 2 3 64 0.000000
mpi 100 50 2 4 58 0.000000
mpi 100 50 2 5 50 0.000000
mpi 100 50 2 6 62 0.000000
mpi 100 50 2 7 54 0.000000
mpi 100 50 2 8 50 0.000000
mpi 100 50 2 9 43 0.000000
mpi 100 750 2 1 9562 0.000000
mpi 100 750 2 10 9151 0.000000
mpi 100 750 2 2 7910 0.001000
mpi 100 750 2 3 9016 0.001000
mpi 100 750 2 4 9494 0.002000
mpi 100 750 2 5 9019 0.001000
mpi 100 750 2 6 9531 0.000000
mpi 100 750 2 7 9277 0.000000
mpi 100 750 2 8 7624 0.001000
mpi 100 750 2 9 9781 0.001000
mpi 150 100 2 1 93 0.000000
mpi 150 100 2 10 102 0.000000
mpi 150 100 2 2 119 0.000000
mpi 150 100 2 3 127 0.000000
mpi 150 100 2 4 123 0.000000
mpi 150 100 2 5 123 0.000000
mpi 150 100 2 6 134 0.004000
mpi 150 100 2 7 128 0.000000
mpi 150 100 2 8 117 0.000000
mpi 150 100 2 9 110 0.001000
mpi 150 250 2 1 559 0.001000
mpi 150 250 2 10 650 0.000000
mpi 150 250 2 2 606 0.000000
mpi 150 250 2 3 598 0.001000
mpi 150 250 2 4 540 0.000000
mpi 150 250 2 5 527 0.000000
mpi 150 250 2 6 531 0.000000
mpi 150 250 2 7 525 0.000000
mpi 150 250 2 8 532 0.000000
mpi 150 250 2 9 615 0.001000
mpi 150 500 2 1 2186 0.000000
mpi 150 500 2 10 2194 0.002000
mpi 150 500 2 2 2206 0.001000
mpi 150 500 2 3 2425 0.004000
mpi 150 500 2 4 2359 0.001000
mpi 150 500 2 5 2585 0.001000
mpi 150 500 2 6 2226 0.001000
mpi 150 500 2 7 2366 0.001000
mpi 150 500 2 8 2415 0.001000
mpi 150 500 2 9 2209 0.001000
mpi 150 50 2 1 50 0.000000
mpi 150 50 2 10 47 0.000000
mpi 150 50 2 2 55 0.000000
mpi 150 50 2 3 50 0.000000
mpi 150 50 2 4 57 0.001000
mpi 150 50 2 5 49 0.000000
mpi 150 50 2 6 50 0.000000
mpi 150 50 2 7 49 0.000000
mpi 150 50 2 8 48 0.000000
mpi 150 50 2 9 48 0.000000
mpi 150 750 2 1 5716 0.002000
mpi 150 750 2 10 5656 0.001000
mpi 150 750 2 2 5221 0.003000
mpi 150 750 2 3 5113 0.001000
mpi 150 750 2 4 5372 0.001000
mpi 150 750 2 5 5048 0.001000
mpi 150 750 2 6 5345 0.001000
mpi 150 750 2 7 5234 0.001000
mpi 150 750 2 8 5653 0.002000
mpi 150 750 2 9 5309 0.001000
mpi 200 100 2 1 111 0.000000
mpi 200 100 2 10 120 0.001000
mpi 200 100 2 2 110 0.000000
mpi 200 100 2 3 102 0.001000
mpi 200 100 2 4 115 0.000000
mpi 200 100 2 5 113 0.000000
mpi 200 100 2 6 107 0.000000
mpi 200 100 2 7 92 0.000000
mpi 200 100 2 8 116 0.000000
mpi 200 100 2 9 109 0.000000
mpi 200 250 2 1 422 0.000000
mpi 200 250 2 10 440 0.001000
mpi 200 250 2 2 414 0.000000
mpi 200 250 2 3 400 0.000000
mpi 200 250 2 4 406 0.001000
mpi 200 250 2 5 513 0.000000
mpi 200 250 2 6 413 0.000000
mpi 200 250 2 7 433 0.000000
mpi 200 250 2 8 439 0.001000
mpi 200 250 2 9 459 0.000000
mpi 200 500 2 1 1678 0.001000
mpi 200 500 2 10 1527 0.003000
mpi 200 500 2 2 1743 0.001000
mpi 200 500 2 3 1764 0.001000
mpi 200 500 2 4 1884 0.002000
mpi 200 500 2 5 1660 0.001000
mpi 200 500 2 6 1675 0.001000
mpi 200 500 2 7 1796 0.001000
mpi 200 500 2 8 1620 0.001000
mpi 200 500 2 9 1837 0.000000
mpi 200 50 2 1 49 0.000000
mpi 200 50 2 10 50 0.000000
mpi 200 50 2 2 51 0.000000
mpi 200 50 2 3 42 0.000000
mpi 200 50 2 4 45 0.000000
mpi 200 50 2 5 49 0.000000
mpi 200 50 2 6 50 0.000000
mpi 200 50 2 7 53 0.000000
mpi 200 50 2 8 46 0.000000
mpi 200 50 2 9 49 0.000000
mpi 200 750 2 1 4088 0.002000
mpi 200 750 2 10 4159 0.002000
mpi 200 750 2 2 3693 0.005000
mpi 200 750 2 3 3558 0.001000
mpi 200 750 2 4 4239 0.001000
mpi 200 750 2 5 3768 0.004000
mpi 200 750 2 6 3454 0.001000
mpi 200 750 2 7 4206 0.001000
mpi 200 750 2 8 3942 0.004000
mpi 200 750 2 9 3971 0.007000
mpi 250 1000 2 1 5374 0.002000
mpi 250 1000 2 10 6023 0.004000
mpi 250 1000 2 2 5357 0.001000
mpi 250 1000 2 3 5767 0.015000
mpi 250 1000 2 4 5329 0.001000
mpi 250 1000 2 5 5897 0.001000
mpi 250 1000 2 6 5204 0.001000
mpi 250 1000 2 7 5647 0.002000
mpi 250 1000 2 8 5583 0.002000
mpi 250 1000 2 9 6024 0.002000
mpi 250 2000 2 1 23592 0.003000
mpi 250 2000 2 10 26246 0.017000
mpi 250 2000 2 2 25557 0.002000
mpi 250 2000 2 3 25253 0.012000
mpi 250 2000 2 4 24230 0.002000
mpi 250 2000 2 5 27110 0.097000
mpi 250 2000 2 6 24764 0.002000
mpi 250 2000 2 7 24457 0.050000
mpi 250 2000 2 8 25832 0.004000
mpi 250 2000 2 9 25264 0.004000
mpi 250 250 2 1 352 0.000000
mpi 250 250 2 10 380 0.000000
mpi 250 250 2 2 404 0.001000
mpi 250 250 2 3 388 0.006000
mpi 250 250 2 4 348 0.001000
mpi 250 250 2 5 431 0.000000
mpi 250 250 2 6 387 0.001000
mpi 250 250 2 7 346 0.000000
mpi 250 250 2 8 373 0.003000
mpi 250 250 2 9 374 0.001000
mpi 250 5000 2 1 160758 0.008000
mpi 250 5000 2 10 175111 0.002000
mpi 250 5000 2 2 182936 0.011000
mpi 250 5000 2 3 162816 0.003000
mpi 250 5000 2 4 173389 0.032000
mpi 250 5000 2 5 164645 0.003000
mpi 250 5000 2 6 174341 0.006000
mpi 250 5000 2 7 169568 0.003000
mpi 250 5000 2 8 169544 0.034000
mpi 250 5000 2 9 171486 0.002000
mpi 250 500 2 1 1337 0.001000
mpi 250 500 2 10 1297 0.002000
mpi 250 500 2 2 1311 0.003000
mpi 250 500 2 3 1355 0.001000
mpi 250 500 2 4 1375 0.000000
mpi 250 500 2 5 1385 0.001000
mpi 250 500 2 6 1452 0.002000
mpi 250 500 2 7 1349 0.000000
mpi 250 500 2 8 1351 0.001000
mpi 250 500 2 9 1514 0.001000
mpi 250 750 2 1 3178 0.002000
mpi 250 750 2 10 3265 0.015000
mpi 250 750 2 2 3229 0.001000
mpi 250 750 2 3 2842 0.001000
mpi 250 750 2 4 3078 0.001000
mpi 250 750 2 5 3184 0.002000
mpi 250 750 2 6 3360 0.004000
mpi 250 750 2 7 3254 0.001000
mpi 250 750 2 8 3738 0.023000
mpi 250 750 2 9 2983 0.001000
mpi 300 1000 2 1 4952 0.001000
mpi 300 1000 2 10 4419 0.004000
mpi 300 1000 2 2 4755 0.002000
mpi 300 1000 2 3 4589 0.001000
mpi 300 1000 2 4 4672 0.002000
mpi 300 1000 2 5 4268 0.002000
mpi 300 1000 2 6 4777 0.005000
mpi 300 1000 2 7 4760 0.002000
mpi 300 1000 2 8 4506 0.004000
mpi 300 1000 2 9 5196 0.005000
mpi 300 2000 2 1 20394 0.009000
mpi 300 2000 2 10 20006 0.003000
mpi 300 2000 2 2 19588 0.001000
mpi 300 2000 2 3 20777 0.013000
mpi 300 2000 2 4 19811 0.009000
mpi 300 2000 2 5 20487 0.001000
mpi 300 2000 2 6 21326 0.003000
mpi 300 2000 2 7 17806 0.002000
mpi 300 2000 2 8 20314 0.002000
mpi 300 2000 2 9 20451 0.002000
mpi 300 250 2 1 266 0.000000
mpi 300 250 2 10 329 0.001000
mpi 300 250 2 2 352 0.001000
mpi 300 250 2 3 362 0.001000
mpi 300 250 2 4 332 0.000000
mpi 300 250 2 5 343 0.000000
mpi 300 250 2 6 315 0.002000
mpi 300 250 2 7 340 0.007000
mpi 300 250 2 8 334 0.000000
mpi 300 250 2 9 325 0.000000
mpi 300 5000 2 1 137543 0.005000
mpi 300 5000 2 10 134589 0.001000
mpi 300 5000 2 2 149946 0.003000
mpi 300 5000 2 3 144132 0.004000
mpi 300 5000 2 4 135793 0.014000
mpi 300 5000 2 5 131076 0.001000
mpi 300 5000 2 6 137336 0.013000
mpi 300 5000 2 7 142866 0.014000
mpi 300 5000 2 8 134099 0.010000
mpi 300 5000 2 9 146605 0.009000
mpi 300 500 2 1 1112 0.002000
mpi 300 500 2 10 1322 0.003000
mpi 300 500 2 2 1072 0.001000
mpi 300 500 2 3 1118 0.001000
mpi 300 500 2 4 1124 0.002000
mpi 300 500 2 5 1184 0.094000
mpi 300 500 2 6 1187 0.002000
mpi 300 500 2 7 1167 0.001000
mpi 300 500 2 8 1136 0.001000
mpi 300 500 2 9 1166 0.005000
mpi 300 750 2 1 2572 0.005000
mpi 300 750 2 10 2651 0.008000
mpi 300 750 2 2 3067 0.003000
mpi 300 750 2 3 2755 0.002000
mpi 300 750 2 4 2694 0.002000
mpi 300 750 2 5 2329 0.002000
mpi 300 750 2 6 2332 0.001000
mpi 300 750 2 7 2613 0.007000
mpi 300 750 2 8 2468 0.003000
mpi 300 750 2 9 2760 0.009000
mpi 50 100 2 1 322 0.001000
mpi 50 100 2 10 255 0.000000
mpi 50 100 2 2 225 0.000000
mpi 50 100 2 3 204 0.000000
mpi 50 100 2 4 323 0.000000
mpi 50 100 2 5 272 0.003000
mpi 50 100 2 6 274 0.000000
mpi 50 100 2 7 241 0.000000
mpi 50 100 2 8 289 0.000000
mpi 50 100 2 9 282 0.000000
mpi 50 250 2 1 1880 0.000000
mpi 50 250 2 10 1595 0.000000
mpi 50 250 2 2 1982 0.000000
mpi 50 250 2 3 1874 0.004000
mpi 50 250 2 4 1616 0.000000
mpi 50 250 2 5 1791 0.000000
mpi 50 250 2 6 1872 0.000000
mpi 50 250 2 7 1785 0.000000
mpi 50 250 2 8 2050 0.000000
mpi 50 250 2 9 1998 0.000000
mpi 50 500 2 1 7997 0.002000
mpi 50 500 2 10 8122 0.000000
mpi 50 500 2 2 6904 0.000000
mpi 50 500 2 3 9825 0.000000
mpi 50 500 2 4 9655 0.001000
mpi 50 500 2 5 7962 0.000000
mpi 50 500 2 6 7380 0.000000
mpi 50 500 2 7 7606 0.000000
mpi 50 500 2 8 7304 0.000000
mpi 50 500 2 9 8203 0.007000
mpi 50 50 2 1 62 0.000000
mpi 50 50 2 10 73 0.000000
mpi 50 50 2 2 64 0.000000
mpi 50 50 2 3 71 0.000000
mpi 50 50 2 4 70 0.000000
mpi 50 50 2 5 64 0.000000
mpi 50 50 2 6 77 0.000000
mpi 50 50 2 7 72 0.000000
mpi 50 50 2 8 62 0.000000
mpi 50 50 2 9 82 0.000000
mpi 50 750 2 1 15698 0.000000
mpi 50 750 2 10 19727 0.000000
mpi 50 750 2 2 21082 0.000000
mpi 50 750 2 3 17054 0.000000
mpi 50 750 2 4 21258 0.000000
mpi 50 750 2 5 16253 0.000000
mpi 50 750 2 6 18554 0.000000
mpi 50 750 2 7 19521 0.000000
mpi 50 750 2 8 23067 0.000000
mpi 50 750 2 9 20409 0.000000
