name n m type run obj time
mpi 200 250 1 6 5197 0.000000
mpi 200 250 1 7 5625 0.001000
mpi 200 250 1 8 5717 0.000000
mpi 200 250 1 9 5422 0.000000
mpi 200 3000 1 1 11543 0.003000
mpi 200 3000 1 10 11308 0.001000
mpi 200 3000 1 2 11483 0.002000
mpi 200 3000 1 3 11289 0.002000
mpi 200 3000 1 4 11776 0.002000
mpi 200 3000 1 5 11791 0.001000
mpi 200 3000 1 6 11858 0.003000
mpi 200 3000 1 7 11044 0.007000
mpi 200 3000 1 8 11467 0.003000
mpi 200 3000 1 9 11432 0.009000
mpi 200 500 1 1 7308 0.001000
mpi 200 500 1 10 7306 0.001000
mpi 200 500 1 2 6940 0.000000
mpi 200 500 1 3 7104 0.000000
mpi 200 500 1 4 7648 0.001000
mpi 200 500 1 5 7314 0.000000
mpi 200 500 1 6 7148 0.001000
mpi 200 500 1 7 7330 0.001000
mpi 200 500 1 8 7920 0.000000
mpi 200 500 1 9 7711 0.001000
mpi 200 750 1 1 8361 0.002000
mpi 200 750 1 10 8380 0.001000
mpi 200 750 1 2 8467 0.001000
mpi 200 750 1 3 8057 0.001000
mpi 200 750 1 4 8678 0.002000
mpi 200 750 1 5 8346 0.001000
mpi 200 750 1 6 8326 0.001000
mpi 200 750 1 7 8613 0.001000
mpi 200 750 1 8 8170 0.001000
mpi 200 750 1 9 8806 0.001000
mpi 250 1000 1 1 10519 0.002000
mpi 250 1000 1 10 11608 0.002000
mpi 250 1000 1 2 11045 0.003000
mpi 250 1000 1 3 10648 0.026000
mpi 250 1000 1 4 11000 0.003000
mpi 250 1000 1 5 10305 0.003000
mpi 250 1000 1 6 11100 0.001000
mpi 250 1000 1 7 10802 0.004000
mpi 250 1000 1 8 10815 0.003000
mpi 250 1000 1 9 10935 0.004000
mpi 250 2000 1 1 12417 0.001000
mpi 250 2000 1 10 13309 0.003000
mpi 250 2000 1 2 12227 0.001000
mpi 250 2000 1 3 12805 0.003000
mpi 250 2000 1 4 13238 0.022000
mpi 250 2000 1 5 12336 0.031000
mpi 250 2000 1 6 12858 0.002000
mpi 250 2000 1 7 12356 0.008000
mpi 250 2000 1 8 13291 0.040000
mpi 250 2000 1 9 12285 0.001000
mpi 250 250 1 1 5886 0.003000
mpi 250 250 1 10 6426 0.000000
mpi 250 250 1 2 6304 0.000000
mpi 250 250 1 3 5849 0.001000
mpi 250 250 1 4 6379 0.001000
mpi 250 250 1 5 6027 0.019000
mpi 250 250 1 6 6105 0.000000
mpi 250 250 1 7 5923 0.000000
mpi 250 250 1 8 6063 0.000000
mpi 250 250 1 9 6174 0.001000
mpi 250 3000 1 1 14427 0.003000
mpi 250 3000 1 10 13654 0.038000
mpi 250 3000 1 2 13320 0.012000
mpi 250 3000 1 3 14338 0.009000
mpi 250 3000 1 4 14860 0.009000
mpi 250 3000 1 5 13351 0.014000
mpi 250 3000 1 6 14154 0.004000
mpi 250 3000 1 7 13856 0.033000
mpi 250 3000 1 8 13605 0.016000
mpi 250 3000 1 9 13652 0.005000
mpi 250 5000 1 1 15364 0.016000
mpi 250 5000 1 10 15128 0.001000
mpi 250 5000 1 2 14258 0.006000
mpi 250 5000 1 3 14875 0.004000
mpi 250 5000 1 4 14990 0.005000
mpi 250 5000 1 5 14157 0.001000
mpi 250 5000 1 6 14680 0.007000
mpi 250 5000 1 7 15816 0.019000
mpi 250 5000 1 8 15397 0.006000
mpi 250 5000 1 9 13541 0.015000
mpi 250 500 1 1 8434 0.001000
mpi 250 500 1 10 8439 0.001000
mpi 250 500 1 2 8310 0.000000
mpi 250 500 1 3 8637 0.001000
mpi 250 500 1 4 8408 0.001000
mpi 250 500 1 5 8325 0.002000
mpi 250 500 1 6 8540 0.001000
mpi 250 500 1 7 8760 0.001000
mpi 250 500 1 8 8196 0.000000
mpi 250 500 1 9 8792 0.002000
mpi 250 750 1 1 10102 0.001000
mpi 250 750 1 10 10285 0.002000
mpi 250 750 1 2 9455 0.002000
mpi 250 750 1 3 9531 0.001000
mpi 250 750 1 4 9427 0.002000
mpi 250 750 1 5 9554 0.001000
mpi 250 750 1 6 9873 0.002000
mpi 250 750 1 7 9972 0.002000
mpi 250 750 1 8 9856 0.002000
mpi 250 750 1 9 9753 0.000000
mpi 300 1000 1 1 11738 0.155000
mpi 300 1000 1 10 11799 0.003000
mpi 300 1000 1 2 12136 0.002000
mpi 300 1000 1 3 12309 0.003000
mpi 300 1000 1 4 12000 0.003000
mpi 300 1000 1 5 12291 0.003000
mpi 300 1000 1 6 12272 0.003000
mpi 300 1000 1 7 12238 0.002000
mpi 300 1000 1 8 12197 0.005000
mpi 300 1000 1 9 11546 0.002000
mpi 300 2000 1 1 15159 0.006000
mpi 300 2000 1 10 13977 0.005000
mpi 300 2000 1 2 15084 0.003000
mpi 300 2000 1 3 15001 0.006000
mpi 300 2000 1 4 14549 0.003000
mpi 300 2000 1 5 14942 0.003000
mpi 300 2000 1 6 15322 0.011000
mpi 300 2000 1 7 14883 0.002000
mpi 300 2000 1 8 15078 0.003000
mpi 300 2000 1 9 15008 0.002000
mpi 300 3000 1 1 16215 0.002000
mpi 300 3000 1 10 15991 0.041000
mpi 300 3000 1 2 15836 0.019000
mpi 300 3000 1 3 16374 0.030000
mpi 300 3000 1 4 15521 0.008000
mpi 300 3000 1 5 16417 0.015000
mpi 300 3000 1 6 16521 0.005000
mpi 300 3000 1 7 15871 0.008000
mpi 300 3000 1 8 15735 0.019000
mpi 300 3000 1 9 16166 0.001000
mpi 300 300 1 1 7158 0.000000
