name n m type run obj time
spi 25 200 2 5 2355 0.000000
spi 25 200 2 6 2846 0.000000
spi 25 200 2 7 1980 0.000000
spi 25 200 2 8 2651 0.000000
spi 25 200 2 9 2497 0.000000
spi 25 40 2 1 83 0.000000
spi 25 40 2 10 59 0.000000
spi 25 40 2 2 77 0.000000
spi 25 40 2 3 60 0.000000
spi 25 40 2 4 84 0.001000
spi 25 40 2 5 85 0.000000
spi 25 40 2 6 119 0.000000
spi 25 40 2 7 104 0.000000
spi 25 40 2 8 64 0.000000
spi 25 40 2 9 67 0.000000
spi 25 80 2 1 397 0.000000
spi 25 80 2 10 421 0.000000
spi 25 80 2 2 347 0.001000
spi 25 80 2 3 339 0.000000
spi 25 80 2 4 319 0.000000
spi 25 80 2 5 383 0.000000
spi 25 80 2 6 411 0.000000
spi 25 80 2 7 202 0.001000
spi 25 80 2 8 365 0.000000
spi 25 80 2 9 421 0.000000
