name n m type run obj time
spi 10 10 1 1 329 0.000000
spi 10 10 1 10 172 0.000000
spi 10 10 1 2 171 0.000000
spi 10 10 1 3 280 0.000000
spi 10 10 1 4 169 0.000000
spi 10 10 1 5 396 0.000000
spi 10 10 1 6 275 0.000000
spi 10 10 1 7 468 0.000000
spi 10 10 1 8 185 0.000000
spi 10 10 1 9 203 0.000000
spi 10 20 1 1 308 0.000000
spi 10 20 1 10 538 0.000000
spi 10 20 1 2 410 0.000000
spi 10 20 1 3 479 0.000000
spi 10 20 1 4 394 0.000000
spi 10 20 1 5 493 0.000000
spi 10 20 1 6 341 0.000000
spi 10 20 1 7 347 0.000000
spi 10 20 1 8 438 0.000000
spi 10 20 1 9 486 0.000000
spi 10 30 1 1 319 0.000000
spi 10 30 1 10 354 0.000000
spi 10 30 1 2 509 0.000000
spi 10 30 1 3 517 0.000000
spi 10 30 1 4 544 0.001000
spi 10 30 1 5 397 0.000000
spi 10 30 1 6 413 0.000000
spi 10 30 1 7 519 0.000000
spi 10 30 1 8 458 0.000000
spi 10 30 1 9 480 0.000000
spi 10 40 1 1 564 0.000000
spi 10 40 1 10 600 0.000000
spi 10 40 1 2 433 0.000000
spi 10 40 1 3 593 0.000000
spi 10 40 1 4 350 0.000000
spi 10 40 1 5 485 0.000000
spi 10 40 1 6 384 0.000000
spi 10 40 1 7 485 0.000000
spi 10 40 1 8 561 0.000000
spi 10 40 1 9 443 0.000000
spi 15 100 1 1 821 0.000000
spi 15 100 1 10 862 0.000000
spi 15 100 1 2 858 0.000000
spi 15 100 1 3 754 0.000000
spi 15 100 1 4 1030 0.000000
spi 15 100 1 5 1011 0.000000
spi 15 100 1 6 850 0.000000
spi 15 100 1 7 760 0.000000
spi 15 100 1 8 957 0.000000
spi 15 100 1 9 918 0.000000
spi 15 20 1 1 460 0.000000
spi 15 20 1 10 380 0.000000
spi 15 20 1 2 546 0.000000
spi 15 20 1 3 444 0.000000
spi 15 20 1 4 462 0.000000
spi 15 20 1 5 423 0.000000
spi 15 20 1 6 473 0.000000
spi 15 20 1 7 534 0.000000
spi 15 20 1 8 435 0.000000
spi 15 20 1 9 516 0.000000
spi 15 40 1 1 466 0.000000
spi 15 40 1 10 795 0.000000
spi 15 40 1 2 594 0.000000
spi 15 40 1 3 497 0.000000
spi 15 40 1 4 661 0.000000
spi 15 40 1 5 566 0.000000
spi 15 40 1 6 548 0.000000
spi 15 40 1 7 596 0.000000
spi 15 40 1 8 751 0.000000
spi 15 40 1 9 586 0.000000
spi 15 60 1 1 693 0.000000
spi 15 60 1 10 649 0.000000
spi 15 60 1 2 588 0.000000
spi 15 60 1 3 778 0.000000
spi 15 60 1 4 599 0.000000
spi 15 60 1 5 675 0.000000
spi 15 60 1 6 698 0.000000
spi 15 60 1 7 821 0.000000
spi 15 60 1 8 580 0.000000
spi 15 60 1 9 764 0.000000
spi 15 80 1 1 784 0.000000
spi 15 80 1 10 841 0.000000
spi 15 80 1 2 995 0.000000
spi 15 80 1 3 720 0.000000
spi 15 80 1 4 863 0.000000
spi 15 80 1 5 687 0.000000
spi 15 80 1 6 815 0.000000
spi 15 80 1 7 906 0.000000
spi 15 80 1 8 655 0.000000
spi 15 80 1 9 843 0.000000
spi 20 100 1 1 1117 0.000000
spi 20 100 1 10 862 0.000000
spi 20 100 1 2 1046 0.000000
spi 20 100 1 3 1035 0.000000
spi 20 100 1 4 1014 0.000000
spi 20 100 1 5 1022 0.000000
spi 20 100 1 6 999 0.000000
spi 20 100 1 7 920 0.000000
spi 20 100 1 8 1042 0.000000
spi 20 100 1 9 1197 0.001000
spi 20 120 1 1 1110 0.000000
spi 20 120 1 10 1047 0.000000
spi 20 120 1 2 1162 0.000000
spi 20 120 1 3 1016 0.000000
spi 20 120 1 4 988 0.000000
spi 20 120 1 5 908 0.000000
spi 20 120 1 6 991 0.000000
spi 20 120 1 7 942 0.000000
spi 20 120 1 8 875 0.000000
spi 20 120 1 9 1015 0.000000
spi 20 20 1 1 520 0.000000
spi 20 20 1 10 397 0.000000
spi 20 20 1 2 403 0.000000
spi 20 20 1 3 494 0.000000
spi 20 20 1 4 491 0.000000
spi 20 20 1 5 466 0.000000
spi 20 20 1 6 628 0.000000
spi 20 20 1 7 560 0.000000
spi 20 20 1 8 400 0.000000
spi 20 20 1 9 544 0.000000
spi 20 40 1 1 750 0.001000
spi 20 40 1 10 630 0.000000
spi 20 40 1 2 582 0.000000
spi 20 40 1 3 837 0.000000
spi 20 40 1 4 857 0.000000
spi 20 40 1 5 844 0.000000
spi 20 40 1 6 610 0.000000
spi 20 40 1 7 766 0.000000
spi 20 40 1 8 785 0.000000
spi 20 40 1 9 797 0.001000
spi 20 60 1 1 776 0.000000
spi 20 60 1 10 859 0.000000
spi 20 60 1 2 822 0.000000
spi 20 60 1 3 736 0.001000
spi 20 60 1 4 961 0.000000
spi 20 60 1 5 878 0.000000
spi 20 60 1 6 859 0.000000
spi 20 60 1 7 988 0.000000
spi 20 60 1 8 888 0.000000
spi 20 60 1 9 983 0.000000
spi 20 80 1 1 896 0.000000
spi 20 80 1 10 879 0.000000
spi 20 80 1 2 920 0.000000
spi 20 80 1 3 747 0.000000
spi 20 80 1 4 943 0.000000
spi 20 80 1 5 1044 0.000000
spi 20 80 1 6 836 0.000000
spi 20 80 1 7 882 0.000000
spi 20 80 1 8 822 0.000000
spi 20 80 1 9 843 0.000000
spi 25 100 1 1 1021 0.000000
spi 25 100 1 10 1231 0.000000
spi 25 100 1 2 1292 0.000000
spi 25 100 1 3 1086 0.000000
spi 25 100 1 4 1110 0.000000
spi 25 100 1 5 1030 0.000000
spi 25 100 1 6 1090 0.000000
spi 25 100 1 7 1007 0.000000
spi 25 100 1 8 1237 0.000000
spi 25 100 1 9 1491 0.001000
spi 25 150 1 1 1391 0.000000
spi 25 150 1 10 1136 0.000000
spi 25 150 1 2 1459 0.000000
spi 25 150 1 3 1248 0.000000
spi 25 150 1 4 1388 0.000000
spi 25 150 1 5 1516 0.000000
spi 25 150 1 6 1320 0.000000
spi 25 150 1 7 1436 0.000000
spi 25 150 1 8 1167 0.000000
spi 25 150 1 9 1292 0.000000
spi 25 200 1 1 1263 0.000000
spi 25 200 1 10 1343 0.000000
spi 25 200 1 2 1367 0.000000
spi 25 200 1 3 1575 0.000000
spi 25 200 1 4 1411 0.000000
spi 25 200 1 5 1376 0.000000
spi 25 200 1 6 1467 0.000000
spi 25 200 1 7 1514 0.000000
spi 25 200 1 8 1328 0.000000
spi 25 200 1 9 1335 0.000000
spi 25 40 1 1 819 0.000000
spi 25 40 1 10 727 0.000000
spi 25 40 1 2 675 0.000000
spi 25 40 1 3 778 0.000000
spi 25 40 1 4 783 0.000000
spi 25 40 1 5 896 0.000000
spi 25 40 1 6 857 0.000000
spi 25 40 1 7 791 0.000000
spi 25 40 1 8 802 0.000000
spi 25 40 1 9 949 0.000000
spi 25 80 1 1 1160 0.000000
spi 25 80 1 10 919 0.000000
spi 25 80 1 2 1133 0.001000
spi 25 80 1 3 1068 0.000000
spi 25 80 1 4 1150 0.000000
spi 25 80 1 5 1037 0.000000
spi 25 80 1 6 1043 0.000000
spi 25 80 1 7 1190 0.000000
spi 25 80 1 8 868 0.000000
spi 25 80 1 9 949 0.000000
